id_onada,onada,vpdef,dia_Enquesta,mes_enquesta,provincia,p46,zones específiques,sexe,edat_m,edat_rec,fills,sit_lab,dies_sortida,dies_sortida_m,p25_1Treballar,p25_2comprar,p25_3gos,p25_4tabac,p25_5premsa,p25_6cura_persones,p25_7metge,p25_8compra_familiar,p25_9alimentar,p25_11passejarfills,p25_97altres,p25_99nc,p23_1_nerviós,p23_2_irritat,p23_3_alegre,p23_4_melancolic,p23_5_tens,p23_6_optimista,p23_7_desanimat,p23_8_enutjat,p23_9_ansios,p23_10_apagat,p23_11_molest,p23_12_animat,p23_13_intranquil,p23_14_enfadat,p23_15_content,p23_16_trist,E1,E2,E3,E4,p31_1,p31_2,p31_3,p31_4,p32_1,p32_2,p32_3,p32_4,dies_m,dies_rec
50947,5,4,29,4,Barcelona,Municipi de més de 100.000 habitants,Resta,Home,20,16-30 anys,No,Estudiant,1 dia,1,No,No,No,No,No,Surt de casa Per anar a cuidar una persona dependent,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Gens,Poc,Poc,Bastant,Molt,Poc,Bastant,Gens,21,Fins 30 dies
50948,5,0.250640963543364,29,4,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Home,46,46-65 anys,Sí,Autònom/a,2 dies,2,Surt de casa Per anar a treballar,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Bastant,Molt,Molt,Poc,Molt,32,31-45 dies
50949,5,0.153387101267681,29,4,Tarragona,Municipi d’entre 5.001 i 10.000 habitants,Tarragona,Dona,23,16-30 anys,No,Aturat/da,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Bastant,Bastant,Molt,Molt,Poc,Bastant,Molt,42,31-45 dies
50950,5,2.17440820381198,29,4,Barcelona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,48,46-65 anys,Sí,Funcionari/ària,6 dies,6,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Bastant,Bastant,Bastant,Poc,Bastant,Bastant,Molt,23,Fins 30 dies
50951,5,0.134486446580284,29,4,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Dona,59,46-65 anys,Sí,Aturat/da,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Molt,Molt,Bastant,Bastant,Bastant,Bastant,32,31-45 dies
50952,5,3.78237026394005,29,4,Barcelona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Home,48,46-65 anys,Sí,Treballador/a amb contracte fixe,3 dies,3,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Poc,Bastant,Poc,Poc,Bastant,Bastant,23,Fins 30 dies
50953,5,0.06081429852837,29,4,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Dona,46,46-65 anys,Sí,Funcionari/ària,3 dies,3,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Poc,Poc,Gens,Gens,Gens,Bastant,17,Fins 30 dies
50954,5,0.153387101267681,29,4,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Dona,31,31-45 anys,No,Treballador/a amb contracte temporal,No he sortit cap dia,0,No,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Poc,Poc,Poc,Poc,Poc,Bastant,32,31-45 dies
50956,5,0.318641183080888,30,4,Tarragona,Municipi d’entre 1.000 i 5.000 habitants,Resta,Dona,62,46-65 anys,Sí,Funcionari/ària,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Molt,Bastant,Bastant,Bastant,Bastant,Bastant,Bastant,33,31-45 dies
50958,5,2.17440820381198,30,4,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,41,31-45 anys,Sí,Treballador/a amb contracte fixe,No he sortit cap dia,0,No,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Molt,Molt,Bastant,Poc,Bastant,Bastant,Molt,23,Fins 30 dies
50959,5,1.35605210594332,30,4,Lleida,Municipi d’entre 1.000 i 5.000 habitants,Resta,Dona,73,+65 anys,No,Jubilat/da o pensionista,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Bastant,Poc,Bastant,Bastant,Bastant,33,31-45 dies
50960,5,0.06081429852837,30,4,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Dona,41,31-45 anys,No,Aturat/da,2 dies,2,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,Altres motius per sortir de casa,0,,,,,,,,,,,,,,,,,,,,,Bastant,Poc,Poc,Molt,Bastant,Poc,Bastant,Molt,48,46-60 dies
50961,5,0.128298033194794,30,4,Tarragona,Municipi de més de 100.000 habitants,Reus,Home,77,+65 anys,No,Jubilat/da o pensionista,No he sortit cap dia,0,No,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Molt,Bastant,Bastant,Gens,Poc,Bastant,Molt,31,31-45 dies
50962,5,0.363422847878615,30,4,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,22,16-30 anys,No,Estudiant,2 dies,2,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,Surt de casa Per fer la compra per un familiar/conegut,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Gens,Bastant,Poc,Bastant,Bastant,Molt,Bastant,Molt,33,31-45 dies
